a-j-minter                   1 621345
a-j-puk                      1 640462
aaron-bummer                 1 607481
aaron-civale                 1 650644
aaron-judge                  0 592450
aaron-nola                   1 605400
abner-uribe                  1 682842
adael-amador                 0 691182
adam-frazier                 0 624428
adam-ottavino                1 493603
adley-rutschman              0 668939
adolis-garcia                0 666969
adrian-morejon               1 670970
aj-smith-shawver             1 700363
alan-roden                   0 702176
albert-suarez                1 544150
alec-bohm                    0 664761
alec-burleson                0 676475
alejandro-kirk               0 672386
alek-jacob                   1 689690
alek-thomas                  0 677950
alex-bregman                 0 608324
alex-call                    0 669743
alex-vesia                   1 681911
alexander-canario            0 672744
allan-winans                 1 642216
amed-rosario                 0 642708
andre-pallante               1 669467
andres-gimenez               0 665926
andres-munoz                 1 662253
andrew-abbott                1 671096
andrew-benintendi            0 643217
andrew-heaney                1 571760
andrew-mccutchen             0 457705
andrew-vaughn                0 683734
andy-ibanez                  0 628451
andy-pages                   0 681624
angel-chivilli               1 683409
angel-martinez               0 682657
angel-perdomo                1 622780
angel-zerpa                  1 672582
anthony-banda                1 607455
anthony-bender               1 669622
anthony-santander            0 623993
anthony-veneziano            1 685107
anthony-volpe                0 683011
antonio-senzatela            1 622608
aroldis-chapman              1 547973
austin-barnes                0 605131
austin-hedges                0 595978
austin-riley                 0 663586
austin-slater                0 596103
austin-wells                 0 669224
austin-wynns                 0 642851
bailey-falter                1 663559
bailey-ober                  1 641927
beau-brieske                 1 689225
ben-brown                    1 676962
ben-casparius                1 676508
ben-joyce                    1 690829
ben-lively                   1 594902
ben-rice                     0 700250
ben-rortvedt                 0 666163
ben-williamson               0 810938
bennett-sousa                1 656986
blake-dunn                   0 694362
blake-sabol                  0 666165
blake-snell                  1 605483
blake-treinen                1 595014
bo-bichette                  0 666182
bo-naylor                    0 666310
bobby-witt-jr                0 677951
bowden-francis               1 670102
brad-keller                  1 641745
brad-lord                    1 695418
bradley-blalock              1 687134
brady-singer                 1 663903
brandon-eisert               1 685126
brandon-lockridge            0 663604
brandon-lowe                 0 664040
brandon-marsh                0 669016
brandon-nimmo                0 607043
brandon-pfaadt               1 694297
brant-hurter                 1 676428
braxton-fulford              0 690924
brayan-rocchio               0 677587
brenan-hanifee               1 669724
brendan-donovan              0 680977
brendan-rodgers              0 663898
brendon-little               1 663893
brennan-bernardino           1 657514
brent-headrick               1 687396
brent-rooker                 0 667670
brent-suter                  1 608718
brenton-doyle                0 686668
brett-baty                   0 683146
brice-turang                 0 668930
brock-burke                  1 656271
brooks-baldwin               0 681460
brooks-lee                   0 686797
bryan-abreu                  1 650556
bryan-baker                  1 641329
bryan-de-la-cruz             0 650559
bryan-hudson                 1 663542
bryan-king                   1 687911
bryan-reynolds               0 668804
bryan-woo                    1 693433
bryce-elder                  1 693821
bryce-harper                 0 547180
bryce-jarvis                 1 686826
bryce-miller                 1 682243
bryse-wilson                 1 669060
bryson-stott                 0 681082
byron-buxton                 0 621439
cade-povich                  1 700249
cade-smith                   1 671922
caden-dana                   1 702674
cal-quantrill                1 615698
cal-raleigh                  0 663728
caleb-boushley               1 676961
caleb-ferguson               1 657571
caleb-thielbar               1 573204
calvin-faucher               1 676534
cam-booser                   1 592155
cam-smith                    0 701358
camilo-doval                 1 666808
carlos-carrasco              1 471911
carlos-correa                0 621043
carlos-estevez               1 608032
carlos-hernandez             1 672578
carlos-narvaez               0 665966
carlos-rodon                 1 607074
carlos-santana               0 467793
carlos-vargas                1 672841
carmen-mlodzinski            1 669387
carson-kelly                 0 608348
carson-spiers                1 686730
casey-lawrence               1 596271
casey-legumina               1 668984
casey-mize                   1 663554
casey-schmitt                0 669477
cavan-biggio                 0 624415
ceddanne-rafaela             0 678882
cedric-mullins               0 656775
chad-green                   1 643338
chad-patrick                 1 694477
chadwick-tromp               0 644433
charlie-morton               1 450203
chas-mccormick               0 676801
chase-dollander              1 801403
chase-meidroth               0 805367
chase-shugart                1 663767
chris-bassitt                1 605135
chris-martin                 1 455119
chris-paddack                1 663978
chris-roycroft               1 688297
chris-sale                   1 519242
chris-stratton               1 608717
chris-taylor                 0 621035
christian-encarnacion-strand 0 687952
christian-koss               0 683766
christian-vazquez            0 543877
christian-walker             0 572233
christian-yelich             0 592885
christopher-morel            0 666624
cionel-perez                 1 672335
cj-abrams                    0 682928
clay-holmes                  1 605280
coco-montes                  0 663796
cody-bellinger               0 641355
cole-henry                   1 669371
cole-ragans                  1 666142
cole-sands                   1 663485
cole-sulser                  1 642121
colin-holderman              1 670059
colin-poche                  1 621363
colin-rea                    1 607067
colin-selby                  1 681882
collin-snider                1 676092
colt-keith                   0 690993
colton-cowser                0 681297
connor-gillispie             1 687362
connor-joe                   0 656582
connor-thomas                1 671162
connor-wong                  0 657136
cooper-criswell              1 681867
corbin-burnes                1 669203
corbin-carroll               0 682998
corey-seager                 0 608369
cristopher-sanchez           1 650911
curtis-mead                  0 678554
dairon-blanco                0 680118
dane-myers                   0 667472
daniel-lynch-iv              1 663738
daniel-schneemann            0 682177
danny-coulombe               1 543056
danny-jansen                 0 643376
danny-young                  1 664849
